1228155,0,C9720,N13575,C1685,N7,6,6,420,0
1228155,0,C9720,N6390,C1707,N7,6,6,420,0
1228155,0,C9720,N6391,C1685,N7,6,7,481,0
1228155,0,C9720,N6392,C1707,N7,6,6,429,0
1228155,0,C9720,N6393,C1685,N7,6,6,430,0
1228155,1,C1685,N7,C13968,N1164,6,4,410,0
1228155,1,C5626,N24518,C706,8080,6,10,6676,0
1228155,11,C4847,N5813,C1685,N7,6,12,7216,0
1228155,12,C12682,N12238,C612,445,6,13,4143,0
1228155,12,C612,445,C12682,N12238,6,9,1653,0
1228155,19,C10921,N1926,C8479,161,17,4,424,0
1228155,55,C458,1433,C6310,N635,6,6,516,0
1228155,6,C1685,N7,C15520,N8153,6,6,2976,0
1228155,55,C5721,445,C9364,N3256,6,2,288,0
1228155,68,C24055,N1798,C5721,445,6,1597,83290,0
1228155,68,C5721,445,C24055,N1798,6,3026,4403560,0
1228155,7,C1685,N7,C4847,N5813,6,8,3202,0
1228155,9,C1670,N197,C4847,N389,6,3,144,0
1228155,9,C1670,N4388,C128,N389,6,3,144,0
1228156,0,C10,N658,C10305,N10664,6,6,808,0
1228156,0,C10,N658,C10305,N5764,6,7,1948,0
1228156,0,C1526,N17804,C1707,N7,6,5,847,0
1228156,0,C1526,N18026,C1707,N7,6,5,847,0
1228156,0,C15802,N5663,C706,8080,6,1,46,0
1228156,0,C1707,N7,C1526,N17804,6,4,413,0
1228156,0,C1707,N7,C1526,N18026,6,4,414,0
1228156,0,C1707,N7,C2329,N15602,6,4,409,0
1228156,0,C1707,N7,C2329,N19044,6,4,410,0
1228156,0,C20837,N1262,C3873,8080,6,3,1923,0
1228156,0,C22884,N9965,C2588,N2,6,5,272,0
1228156,0,C2329,N19044,C1707,N7,6,5,853,0
1228156,0,C2588,N2,C22884,N9965,6,3,168,0
1228156,0,C3534,137,C4174,137,17,2,156,0
1228156,0,C3534,138,C586,138,17,1,207,0
1228156,0,C3534,N24525,C586,389,17,1,193,0
1228156,0,C3873,8080,C20837,N1262,6,2,317,0
1228156,0,C3873,8080,C6823,N1950,6,2,92,0
1228156,0,C4174,137,C3534,137,17,2,180,0
1228156,0,C4200,N1239,C706,8080,6,1,46,0
1228156,0,C457,389,C5878,N24524,17,1,193,0
1228156,0,C5125,N1395,C706,8080,6,5,333,0
1228156,0,C5125,N1780,C706,8080,6,6,389,0
1228156,0,C528,123,C2465,123,17,1,96,0
1228156,0,C586,389,C3534,N24525,17,1,193,0
1228156,0,C5878,N24524,C457,389,17,1,192,0
1228156,0,C6823,N1950,C3873,8080,6,2,92,0
1228156,0,C706,8080,C5125,N1395,6,3,460,0
1228156,0,C706,8080,C5125,N1780,6,5,2658,0
1228156,0,C706,8080,C8456,N14194,6,7,5486,0
1228156,0,C706,8080,C8456,N22128,6,13,8856,0
1228156,0,C8456,N14194,C706,8080,6,7,763,0
1228156,1,C706,8080,C9666,N5431,6,7,5486,0
1228156,1,C1065,N5419,C467,8080,6,6,2721,1
1228156,1,C9666,N5431,C706,8080,6,7,763,0
1228156,10,C4856,N17072,C1685,N7,6,9,3373,0
1228156,11,C10,445,C10305,N5760,6,21,3738,0
1228156,11,C19983,N24451,C1685,N7,6,9,2768,0
1228156,11,C3873,8080,C6823,N7667,6,6,2496,0
1228156,2,C467,N10629,C396,8080,6,6,3014,1
1228156,11,C6823,N7667,C3873,8080,6,7,2512,0
1228156,13,C3534,N1294,C586,139,6,14,4279,0
1228156,13,C3534,N14449,C586,139,6,13,1797,0
1228156,13,C3534,N14461,C586,139,6,13,1531,0
1228156,13,C586,139,C3534,N1294,6,12,1411,0
1228156,13,C586,139,C3534,N14449,6,11,1614,0
1228156,13,C586,139,C3534,N14461,6,11,1667,0
1228156,27,C5125,N5324,C706,8080,6,15,9764,0
1228156,27,C706,8080,C5125,N5324,6,11,4764,0
1228156,3,C1743,N182,C8456,N24531,17,2,568,0
1228156,7,C396,8080,C467,N10629,6,10,8514,1
1228156,45,C22465,N2906,C585,445,6,11,1208,0
1228156,6,C1685,N7,C391,N5337,6,4,2756,0
1228156,6,C1685,N7,C4856,N17072,6,6,2977,0
1228156,8,C467,8080,C1065,N5419,6,12,9647,1
1228156,55,C12714,N181,C5721,445,6,1664,86918,0
1228156,55,C12770,N13894,C2588,N2,6,3,138,0
1228156,55,C17931,N2570,C2588,N2,6,3,138,0
1228156,55,C220,N3730,C5721,445,6,270,103263,0
1228156,55,C22884,N9764,C2588,N2,6,3,158,0
1228156,55,C2588,N2,C12770,N13894,6,3,138,0
1228156,55,C5721,445,C12714,N181,6,3145,4563179,0
1228156,55,C5721,445,C220,N3730,6,265,86152,0
1228156,55,C8456,N22128,C706,8080,6,15,6921,0
1228156,69,C868,N200,C366,445,6,9976,1284004,0
1228156,7,C1685,N7,C19983,N24451,6,6,2980,0
1228157,0,C1685,N7,C15482,N21172,6,1,46,0
1228157,0,C1685,N7,C25523,N1302,6,4,372,0
1228157,0,C1685,N7,C25523,N6351,6,4,372,0
1228157,0,C1685,N7,C8227,N20882,6,4,373,0
1228157,0,C1685,N7,C9720,N6387,6,5,2691,0
1228157,0,C1707,N7,C21868,N8218,6,4,414,0
1228157,0,C1707,N7,C21868,N8221,6,4,413,0
1228157,0,C1707,N7,C25523,N12346,6,4,376,0
1228157,0,C1707,N7,C4897,N17103,6,4,410,0
1228157,0,C1707,N7,C4897,N17105,6,4,409,0
1228157,0,C1707,N7,C9900,N9192,6,1,46,0
1228157,0,C21676,N20116,C5030,443,6,2,92,0
1228157,0,C21868,N8218,C1707,N7,6,5,847,0
1228157,0,C21868,N8221,C1707,N7,6,5,847,0
1228157,0,C25523,N12346,C1707,N7,6,6,430,0
1228157,0,C25523,N1302,C1685,N7,6,6,430,0
1228157,0,C25523,N6351,C1685,N7,6,7,481,0
1228157,0,C4407,N18,C17144,N17171,6,12,1546,0
1228157,0,C457,389,C5878,N24526,17,1,193,0
1228157,0,C4897,N17103,C1707,N7,6,5,843,0
1228157,0,C4897,N17105,C1707,N7,6,5,843,0
1228157,0,C5030,443,C21676,N20116,6,1,46,0
1228157,0,C581,N2868,C706,8080,6,1,46,0
1228157,0,C5878,N24526,C457,389,17,1,192,0
1228157,0,C706,8080,C18186,N10596,6,5,561,0
1228157,0,C8219,N16850,C706,8080,6,1,46,0
1228157,0,C8227,N20882,C1685,N7,6,6,1698,0
1228157,0,C9720,N6387,C1685,N7,6,7,1294,0
1228157,10,C15482,N15633,C1685,N7,6,8,3337,0
1228157,10,C9900,N7077,C1707,N7,6,7,1433,0
1228157,11,C16833,N18013,C1685,N7,6,11,5306,0
1228157,12,C4407,445,C17144,N17720,6,22,3625,0
1228157,15,C18401,N18489,C1685,N7,6,6,1222,0
1228157,5,C1685,N7,C18401,N18489,6,4,2756,0
1228157,6,C1685,N7,C15482,N15633,6,4,319,0
1228157,6,C1707,N7,C9900,N7077,6,4,322,0
1228157,55,C14079,N2521,C2588,N2,6,3,138,0
1228157,55,C18186,N10596,C706,8080,6,10,6063,0
1228157,55,C2588,N2,C14079,N2521,6,3,138,0
1228157,55,C2588,N2,C17931,N2570,6,3,138,0
1228157,64,C2110,N13812,C5720,445,6,440,33780,0
1228157,9,C1685,N7,C8484,N4551,6,5,2798,0
1228157,9,C8484,N4551,C1685,N7,6,6,1218,0
1228158,0,C11238,N12322,C5720,139,6,2,94,0
1228158,0,C1131,N16884,C231,N5381,6,1,46,0
1228158,0,C13779,N12294,C3774,139,6,1,46,0
1228158,0,C14975,N2757,C706,8080,6,7,763,0
1228158,0,C15355,N20343,C1707,N7,6,6,429,0
1228158,0,C15355,N20349,C1707,N7,6,6,420,0
1228158,0,C15355,N23131,C1707,N7,6,7,482,0
1228158,0,C15355,N23919,C1685,N7,6,6,429,0
1228158,0,C15355,N23920,C1685,N7,6,6,430,0
1228158,0,C15355,N23922,C1685,N7,6,6,420,0
1228158,0,C1538,N2370,C3873,8080,6,2,92,0
1228158,0,C1685,N7,C15355,N23919,6,4,372,0
1228158,0,C1685,N7,C15355,N23920,6,4,372,0
1228158,0,C1685,N7,C15355,N23922,6,4,372,0
1228158,0,C1685,N7,C9720,N6388,6,4,445,0
1228158,0,C1707,N7,C15355,N20343,6,4,376,0
1228158,0,C1707,N7,C15355,N20349,6,4,376,0
1228158,0,C1707,N7,C15355,N23131,6,4,376,0
1228158,0,C1707,N7,C25523,N21805,6,4,376,0
1228158,0,C17452,4559,C706,8080,6,8,3028,0
1228158,0,C2229,N1042,C529,88,6,6,1811,0
1228158,0,C2229,N16281,C467,389,17,1,236,0
1228158,0,C25523,N21805,C1707,N7,6,6,429,0
1228158,0,C3774,139,C13779,N12294,6,1,46,0
1228158,0,C3873,8080,C1538,N2370,6,2,92,0
1228158,0,C4359,N19895,C585,139,6,1,46,0
1228158,0,C457,389,C5878,N24527,17,1,193,0
1228158,0,C467,389,C2229,N16281,17,1,193,0
1228158,0,C528,88,C10563,N10035,17,1,1374,0
1228158,0,C528,88,C10563,N24530,17,1,1404,0
1228158,0,C528,88,C10563,N24532,17,1,1391,0
1228158,0,C528,88,C10563,N24533,17,1,1391,0
1228158,0,C528,N179,C10563,N179,1,2,120,0
1228158,0,C529,88,C2229,N1042,6,6,1764,0
1228158,0,C529,88,C2229,N1043,6,6,1730,0
1228158,0,C5292,N238,C95,139,6,1,46,0
1228158,0,C5720,139,C11238,N12322,6,1,48,0
1228158,0,C586,389,C768,N24528,17,1,193,0
1228158,0,C5878,N24527,C457,389,17,1,192,0
1228158,0,C706,8080,C14975,N2757,6,7,5486,0
1228158,0,C706,8080,C14975,N2803,6,6,4740,0
1228158,0,C706,8080,C17452,4559,6,6,4758,0
1228158,0,C706,8080,C2861,N20295,6,1,46,0
1228158,0,C706,8080,C9550,N23540,6,6,4081,0
1228158,0,C8462,N1579,C5463,445,6,1,52,0
1228158,0,C95,139,C5292,N238,6,1,46,0
1228158,0,C9720,N6388,C1685,N7,6,6,922,0
1228158,1,C10986,N21619,C1707,N7,6,5,856,0
1228158,1,C1707,N7,C10986,N21619,6,4,413,0
1228158,1,C2229,N980,C529,88,6,6,1640,0
1228158,1,C529,88,C2229,N980,6,6,1650,0
1228158,10,C22710,N13849,C1685,N7,6,6,1190,0
1228158,11,C13859,N15328,C1685,N7,6,12,6998,0
1228158,11,C1538,N7598,C3873,8080,6,7,1891,0
1228158,11,C3674,N18031,C1685,N7,6,9,3423,0
1228158,11,C3873,8080,C1538,N7598,6,6,2524,0
1228158,12,C1697,N3343,C5590,445,6,23,3058,0
1228158,12,C528,445,C10563,N17192,6,272,67492,0
1228158,12,C5590,445,C1697,N3343,6,21,4646,0
1228158,13,C586,445,C768,N17101,6,12,1799,0
1228158,13,C768,N17101,C586,445,6,17,4816,0
1228158,15,C2229,N1049,C529,135,6,7,644,0
1228158,15,C529,135,C2229,N1049,6,5,504,0
1228158,2,C2229,N979,C529,389,6,21,5804,0
